Frame,Keypoint ID,Keypoint Score,Keypoint Visibility,Keypoint Likelihood,Keypoint Part,Bounding Box,Pose Confidence,X,Y
221,[0.38683012 0.5302095  0.61765355],0.30644223,[0.3084566  0.51693845 0.39062482],[0.31197855 0.4709589  0.44861194],[0.38670748 0.4551049  0.5349682 ],"[[0.47795278 0.5331054  0.3817327 ]
 [0.48110166 0.4505131  0.45979998]
 [0.5699002  0.5198422  0.15096608]
 [0.58437294 0.46596667 0.28404078]]",[0.5586996  0.51370746 0.38209495],0.31942353,0.30666378
222,[0.38324076 0.53053933 0.5065986 ],0.3037705,[0.30470482 0.5185184  0.532517  ],[0.31021664 0.47053802 0.5395761 ],[0.38620797 0.45558006 0.56878567],"[[0.48590356 0.530687   0.40830144]
 [0.4803126  0.4541298  0.30912802]
 [0.5887223  0.52608293 0.29993188]
 [0.58661884 0.46676782 0.36733216]]",[0.5668928 0.5144161 0.5177929],0.31620353,0.30282968
223,[0.38698575 0.53380007 0.5743038 ],0.304771,[0.30667883 0.5183161  0.4840113 ],[0.3123918 0.4722597 0.5107702],[0.38745916 0.45704788 0.62834114],"[[0.48707706 0.5321246  0.4014607 ]
 [0.48332128 0.45446694 0.23452991]
 [0.5924286  0.5249407  0.3160764 ]
 [0.5926187  0.46800923 0.3824267 ]]",[0.5710654  0.51420045 0.47273827],0.31788826,0.3045667
224,[0.38568026 0.5303785  0.43136677],0.30403477,[0.3061242 0.5203056 0.5486665],[0.31129038 0.47149795 0.5070891 ],[0.38939357 0.45726717 0.57400596],"[[0.4956709  0.53337514 0.41054407]
 [0.48995066 0.45292094 0.2515548 ]
 [0.5952297  0.5263284  0.3304137 ]
 [0.5960155  0.46868053 0.3664967 ]]",[0.57691866 0.5156806  0.47128838],0.3171557,0.30351558
225,[0.38801998 0.5357571  0.6195706 ],0.3030448,[0.30534706 0.5222048  0.608325  ],[0.31086403 0.473983   0.6283628 ],[0.3877612 0.4580589 0.6362697],"[[0.48404828 0.5359631  0.43575367]
 [0.48204917 0.45203307 0.38469875]
 [0.5893034  0.5306763  0.3112817 ]
 [0.5900245  0.46816504 0.30722427]]",[0.56278586 0.5137745  0.4828982 ],0.31683517,0.30224428
226,[0.38401702 0.53443635 0.651814  ],0.3033887,[0.3048155  0.52281517 0.6123102 ],[0.31072122 0.47427934 0.63255227],[0.38591862 0.4600056  0.68420017],"[[0.47643432 0.53511405 0.3544415 ]
 [0.47871327 0.45375404 0.38000903]
 [0.5819976  0.52263594 0.27518082]
 [0.5833711  0.46819833 0.29191002]]",[0.56267774 0.5134827  0.4487996 ],0.3177453,0.3025105
228,[0.3841768  0.53589535 0.67871344],0.30039558,[0.29963875 0.5278376  0.64659697],[0.3052384  0.4774077  0.65512687],[0.38316053 0.4619396  0.61111367],"[[0.4764295  0.5366197  0.35402375]
 [0.47998106 0.45884427 0.42734924]
 [0.57999015 0.5216752  0.2459027 ]
 [0.586714   0.46953493 0.30178043]]",[0.56187093 0.5182218  0.49390307],0.3110993,0.29863104
229,[0.38433096 0.5357743  0.681728  ],0.3001383,[0.299451   0.52874726 0.64228046],[0.30474204 0.47791094 0.62054193],[0.38384253 0.46215102 0.6059464 ],"[[0.47676617 0.53766507 0.36762658]
 [0.4802447  0.45982498 0.4389078 ]
 [0.57975924 0.5214974  0.24228698]
 [0.58633554 0.4691861  0.29691318]]",[0.56441665 0.5189412  0.5386296 ],0.3107439,0.29849076
231,[0.38756368 0.54067665 0.6809093 ],0.30003265,[0.29974136 0.5305237  0.5698955 ],[0.30477118 0.47935778 0.5658845 ],[0.38554758 0.46452576 0.55512834],"[[0.48888472 0.5351091  0.43128517]
 [0.48464933 0.46004432 0.32130945]
 [0.5907613  0.5313535  0.35126802]
 [0.5942975  0.46883693 0.33476612]]",[0.5722659  0.52115333 0.45794055],0.31102455,0.29587293
233,[0.38696143 0.54279006 0.68264014],0.3002441,[0.3011894 0.532231  0.514205 ],[0.3065754 0.4835348 0.5119962],[0.38196808 0.46784636 0.4796108 ],"[[0.48381364 0.54240227 0.34531516]
 [0.47875965 0.46334094 0.48477492]
 [0.58580625 0.53901565 0.4160821 ]
 [0.5845655  0.47885323 0.30670914]]",[0.56573325 0.520403   0.5812105 ],0.31157842,0.2986288
